contaminant_level,ph_level,turbidity,dissolved_oxygen,nitrate_level,lead_concentration,bacteria_count,access_to_clean_water,diarrheal_cases,cholera_cases,typhoid_cases,infant_mortality_rate,gdp,healthcare_access,urbanization_rate,sanitation_coverage,rainfall_per_year,temperature,population_density,abdominal_pain,nausea_vomiting,weakness_loss_of_appetite,fever,"Diarrheal Cases per 100,000 people","Cholera Cases per 100,000 people","Typhoid Cases per 100,000 people",water_source_Pond,water_source_River,water_source_Spring,water_source_Tap,water_source_Well
6.38,6.49,4.83,4.38,21.36,14.66,3844,58.29,25.55295272391365,87.76246666877302,12.179339613569171,67.84,27313,83.13,58.22,96.25,964,15.22,276,5,4,9,1,73.52644577650392,18.32271402411486,150.63213859905667,0,1,0,0,0
5.06,6.04,3.18,9.93,28.88,12.35,4697,31.08,53.84276425802712,80.08240647248199,22.66827565875738,15.51,55052,85.62,39.35,67.31,910,23.9,572,1,7,8,8,73.80409596125794,31.37671191673744,278.0183130745614,0,0,0,0,0
7.17,7.34,3.91,4.7,14.88,19.45,2390,93.75,24.177681710288077,63.256305044631574,25.062408182109944,51.74,41522,37.5,58.53,60.1,1888,33.83,768,4,2,3,10,50.9522393381043,22.329525606912895,221.21366509633972,0,0,1,0,0
8.33,7.4,2.66,8.87,27.09,14.24,1419,77.36,28.548245570168675,31.81725448262882,5.574872561364057,11.18,75241,43.13,41.57,87.91,1897,23.9,57,0,2,8,0,26.337796607713273,11.436625756813907,57.37648608653312,0,0,0,1,0
7.43,6.96,3.12,6.29,47.67,18.66,3917,53.3,75.83920190432515,84.66006842399527,41.90030259425901,59.73,6633,21.7,79.45,26.37,2017,11.91,343,9,10,6,6,140.96569825010286,25.58419402100152,486.5151398235203,0,0,0,0,0
8.47,6.67,4.94,6.04,15.59,19.83,3835,91.68,34.39599353500853,71.47283756038595,0.40930463644050397,33.17,51641,43.25,86.31,98.28,2253,22.33,653,5,3,10,3,81.54059774638749,22.320985937676923,173.25527990426187,0,0,0,0,0
0.64,7.63,2.19,5.06,15.47,8.57,4428,42.81,20.151626099321245,84.79611544172194,27.529379988064278,83.44,59746,27.48,57.48,56.99,1233,17.28,145,8,0,5,4,70.95373739529752,20.197444804493003,143.99339083443402,0,0,1,0,0
0.32,6.34,0.33,8.42,24.14,3.01,4450,35.51,19.48413969017354,99.1016729261561,34.00804801175116,80.39,84224,17.49,77.38,74.06,1560,39.39,528,0,8,4,9,62.69874173821087,27.586046436887123,252.33544254958238,0,0,0,0,0
2.59,7.3,4.79,9.16,25.77,3.92,3630,95.98,32.22159718332442,77.4694353490978,14.822569956371716,99.85,69361,15.85,78.3,78.28,2890,2.04,492,10,7,10,4,135.0483696924502,22.963293421458786,393.34783046628047,0,1,0,0,0
9.01,7.92,3.97,4.83,0.07,6.37,4942,51.63,0.16819174439068618,99.91207418436383,11.18832442020123,27.24,6473,77.56,67.1,70.31,2359,30.72,128,10,7,8,0,130.7725903233275,16.82914071355576,225.56352034804772,0,1,0,0,0
8.24,6.41,1.99,3.67,30.79,10.18,162,95.52,15.435338027238636,0.0,14.866587571520508,8.06,55543,11.69,25.36,91.32,2327,0.96,297,9,9,1,5,121.7394494747801,17.21299648053865,352.37504543281193,1,0,0,0,0
6.83,7.88,4.91,3.96,49.87,2.45,115,74.63,38.01831339112676,10.08551004575396,35.753842589867915,45.41,72246,61.6,22.4,43.05,2700,24.16,351,2,5,10,8,75.29093549400447,32.58214059112024,270.238653642043,0,0,0,0,1
7.01,7.9,1.73,8.55,14.6,6.03,1470,98.6,13.406068885077032,24.583268669694206,3.9126849841303155,10.17,17761,16.75,83.56,62.58,2295,17.24,287,6,6,1,1,79.43084616585782,10.755340915505236,126.63350811110013,0,0,0,0,0
7.27,6.15,1.86,6.05,31.54,6.16,3079,82.74,43.83040952815178,66.32639261880792,19.44611947548516,19.49,82551,83.78,31.2,54.42,290,36.42,503,3,5,10,6,74.25404253346365,25.70675789051415,255.95808884167448,0,0,0,0,1
9.43,6.05,3.05,3.92,0.23,0.08,3852,37.38,0.0,67.15225964191771,0.0,60.54,38435,27.45,29.71,76.33,1868,21.57,739,8,8,8,5,123.52699111729169,28.49891419917573,400.47634249696773,0,0,0,1,0
8.32,8.43,1.37,5.38,30.22,7.08,2838,89.66,27.21625434753345,59.84100119231184,27.82229246654616,60.03,81950,4.49,23.29,51.61,895,33.09,636,2,2,2,4,29.15114678773579,11.417806591843943,89.58430978813897,0,1,0,0,0
6.23,6.48,3.49,6.6,22.35,2.32,542,40.35,16.397940275311196,0.5166820268637711,9.412599602167871,6.25,93264,45.21,52.2,91.43,2323,26.89,173,4,2,7,3,50.48226905654712,15.599164443441419,121.59723194767395,1,0,0,0,0
6.66,8.06,0.76,8.96,26.51,8.59,413,78.45,35.975490030463426,14.504954600613452,33.5509918056884,45.4,1492,99.98,64.16,59.23,462,17.88,294,2,2,10,3,48.75239383203742,26.80079655587484,117.44301682583355,0,0,0,1,0
2.14,7.4,0.54,7.49,27.2,3.93,681,65.03,38.21232283399792,27.15043095941483,8.65643580311048,53.96,39040,81.31,64.09,62.88,600,13.51,973,6,9,8,5,116.79810636496931,27.973393460582564,380.3974157022867,1,0,0,0,0
6.57,6.66,2.67,4.23,8.85,16.44,641,79.54,34.72774934085935,17.754216183555926,16.929794096577872,28.27,89818,57.03,30.88,59.47,1457,4.68,232,4,2,7,3,57.76938535361,16.90312263360391,117.55429274872351,0,0,1,0,0
4.25,6.32,2.78,4.11,38.5,1.61,3978,83.55,42.481103175874644,58.49089058788674,19.12213405565576,87.46,26835,18.94,17.58,69.81,1200,0.54,607,8,8,3,4,113.73757744582328,15.862472622267495,302.42912751345165,0,1,0,0,0
1.53,7.24,0.53,5.89,27.77,17.31,1432,86.26,23.855027918756072,10.337443106632993,16.891919267228886,17.79,68632,11.75,34.82,60.83,415,0.06,710,6,3,0,5,71.98775937231747,12.050837670740428,172.19832310620828,0,0,0,1,0
8.06,7.02,4.82,3.53,13.51,11.61,668,88.45,22.502573857275898,26.659473623713325,14.020073725305629,26.88,93711,83.86,50.27,94.99,2194,9.04,386,1,6,3,4,53.50522802981809,14.57607296816327,130.7522719047133,0,0,1,0,0
5.1,7.75,2.87,8.29,46.87,9.17,2069,89.31,39.061732780832,32.061025197917324,32.31306270295552,17.39,3449,78.77,59.0,30.49,1568,22.44,62,3,8,8,6,86.87061143165019,30.599217049217607,313.63821235358694,0,0,0,1,0
9.77,8.26,0.76,5.81,0.64,10.99,968,58.88,26.47031122221526,14.575742002997654,23.37070093927153,13.42,22225,46.22,31.65,21.07,1397,39.02,337,8,10,1,8,122.64025543289225,22.675370786125157,458.1309845290047,1,0,0,0,0
2.82,8.01,1.56,5.4,36.3,7.52,1180,92.25,45.266677375966864,27.489679042328326,16.60547752811057,88.14,30571,42.14,24.65,61.74,2284,28.21,350,1,6,2,9,56.00091400804619,26.035128903394124,212.62996323829208,0,0,1,0,0
4.81,6.69,4.0,6.56,19.06,2.55,4819,80.37,17.075540568021964,84.89997462249889,18.398598114006255,29.23,25977,74.87,77.33,81.17,1102,2.83,536,9,8,9,6,133.6937201473246,29.915852689993336,463.3524256992097,0,0,1,0,0
4.48,8.2,2.62,7.96,26.13,15.32,3235,88.73,42.63529484496927,57.128088085141634,10.58845902749329,72.81,53136,53.6,78.63,71.86,1752,25.81,648,8,2,7,6,84.31456030850961,25.239669998348678,249.92027641282604,0,1,0,0,0
1.21,8.08,0.94,6.99,14.58,18.56,251,99.24,29.230789514025147,4.588575522581358,0.0,43.94,71626,40.42,32.4,97.02,2032,19.42,697,9,3,5,3,93.82345575210141,17.69101950349295,191.5809198507682,0,0,0,0,1
4.26,8.32,0.51,8.62,16.06,19.0,4300,38.15,10.238826737069555,76.73591170254295,33.39224622096071,64.32,40505,25.17,54.81,34.58,2567,25.45,127,4,7,7,0,83.86732731185297,17.361859664531398,154.83852934832615,1,0,0,0,0
2.88,7.15,2.15,7.41,0.76,13.41,2879,55.94,12.051114929791995,55.762979393169324,0.0,92.96,78665,12.26,45.19,75.52,2074,24.93,191,1,5,6,7,60.78708120049014,26.481893375240542,194.37538689260145,1,0,0,0,0
1.6,7.92,1.69,8.52,36.49,8.21,3998,86.46,33.94528894464337,85.90981044733186,23.64818103876959,84.77,66101,59.48,21.36,85.27,2716,5.76,589,3,4,4,3,53.251730878633715,12.266905828717858,126.2671181760206,0,0,1,0,0
2.82,7.48,3.28,7.88,35.54,9.57,790,36.04,48.76480939540255,14.76979923919139,0.0,8.76,13394,82.6,85.25,92.97,2292,36.78,499,6,3,8,0,74.74681658227549,13.154835464943112,114.98489167647294,0,0,1,0,0
2.33,6.78,4.63,4.35,32.72,13.14,4560,67.85,47.16619931818251,91.4811162362122,11.080426787745873,84.83,69800,74.62,10.78,62.28,1077,22.18,515,7,7,3,4,105.77784916728689,15.94772426144408,254.03055028327753,0,1,0,0,0
7.34,8.49,1.24,3.37,43.9,16.46,1495,90.09,30.56833603967688,29.977358468710214,28.119234637966898,46.28,19677,69.63,25.01,49.05,1103,28.03,334,2,0,5,7,31.985758623791828,20.353582323842787,94.94553522022477,0,0,0,0,1
0.31,6.1,4.28,9.32,45.06,7.49,4489,31.33,50.53152117732478,100.05505894689331,1.4366406148108766,36.31,5977,92.89,37.65,96.43,2101,15.48,877,0,8,1,3,50.23413581744185,10.019691553992896,106.19279567584854,1,0,0,0,0
6.17,6.41,4.6,9.62,27.82,18.34,3068,95.77,35.65721041120297,66.45928121823398,15.387336236495363,67.89,78681,39.45,78.52,83.32,1332,4.89,713,3,0,1,7,27.855803446467274,15.849001138420821,102.38642573738223,0,0,0,0,0
7.61,8.23,4.51,8.09,34.24,6.49,2707,98.47,30.275050670166785,34.2549704253377,32.54686324480056,95.12,67451,13.72,73.09,57.67,546,27.64,203,1,7,1,7,54.35752373489601,17.033384723784536,187.09819844298767,0,0,0,0,0
4.81,6.15,4.76,8.07,0.55,10.62,2577,52.56,6.103424479911843,64.84282948423632,16.756595673437715,11.23,63149,10.19,56.39,72.09,1361,37.7,187,7,3,9,2,87.23181788302098,16.645199018654814,172.34827961524408,0,0,0,0,1
9.32,8.22,4.21,4.89,42.32,19.23,1235,83.68,60.30372152915183,31.565466716211425,35.599102018667566,77.27,38692,95.5,65.6,42.29,1161,23.25,977,3,8,6,8,92.09347995450702,25.61112833708329,337.2985184788502,0,0,0,1,0
7.08,7.79,2.97,6.8,40.82,18.76,1058,38.9,37.415539670975946,17.857560953811767,22.753559326935797,21.94,6707,58.9,37.27,69.19,2574,7.95,568,1,10,1,2,75.89270382689698,11.46067338967083,122.69977079515996,0,1,0,0,0
7.48,6.09,2.05,9.95,1.01,13.91,1170,84.1,12.434831246927425,26.018089707284282,33.4092260246669,39.25,8869,81.08,85.24,63.2,2761,24.93,973,5,4,1,0,56.54115480719567,4.182495956295954,69.48366122157509,0,0,0,0,1
1.97,7.07,2.46,8.99,27.14,6.49,3618,63.71,33.10818096935464,66.48269024492302,31.737301384620924,87.63,82654,53.56,12.14,23.14,2327,17.16,918,5,2,8,1,66.60735171094998,14.35064899352033,111.39775992447026,0,0,0,0,0
7.77,7.89,4.36,5.13,45.33,4.38,3659,90.22,34.1350633937464,66.92687513829242,0.0,55.49,66797,39.85,18.07,89.26,1341,15.96,663,9,8,6,5,128.49293839340166,24.988462551537303,394.50845036176264,0,0,1,0,0
8.32,7.46,1.51,5.11,9.07,1.6,3655,44.88,3.6367231438532155,87.40229156898181,43.225450493416275,8.61,87826,20.03,84.04,59.22,2509,36.54,18,3,10,10,9,109.21420890548976,36.002381285355895,477.60073927781764,0,0,0,0,0
3.61,8.34,0.8,6.39,17.63,14.17,56,77.09,34.27581178156731,0.0,31.001503156181936,51.79,1782,85.64,85.6,58.38,1303,29.48,421,5,8,2,1,86.74798588036205,9.761748214643783,144.8157997749289,0,0,1,0,0
2.13,8.17,0.7,5.83,16.55,10.07,1892,85.03,16.87873397722709,42.70233913915051,16.393598432181587,79.38,81862,6.35,49.25,42.67,800,20.35,943,1,3,2,5,28.237204492315858,14.60832672087096,95.98783863863048,0,1,0,0,0
3.85,6.83,4.13,5.6,17.8,11.45,2569,44.17,27.061271145294896,47.71805690193678,27.458936699596258,53.83,18147,90.02,56.12,35.71,756,16.7,533,9,10,6,0,136.91399588720475,12.518639322654455,255.2341966901778,0,0,1,0,0
7.4,6.21,3.81,7.39,2.09,9.45,4080,87.28,16.17712659237554,84.41966416679955,21.350948157962705,18.36,94186,20.5,82.2,43.31,2513,9.72,613,1,3,4,10,39.043429672469955,26.51491514040699,172.2992038852681,0,0,0,0,1
4.18,8.36,2.49,3.08,13.95,9.66,4456,97.06,7.9711891262731704,86.47271556981624,21.081373620732744,45.61,88123,0.95,78.27,72.0,955,13.74,22,9,7,9,0,120.75541255482688,15.861008039891114,227.07812551915805,0,0,1,0,0
7.37,7.29,1.37,8.34,14.74,11.43,1948,73.13,13.414871041720044,39.04974651902487,51.99613584113144,92.59,36881,10.39,78.96,27.81,592,21.62,286,3,1,5,4,42.25395390365989,16.505507938122893,95.77184455380669,0,0,0,1,0
1.14,6.19,3.39,8.18,43.29,18.29,222,84.94,48.882680141191216,7.568499698443819,21.144947101957186,66.5,37714,88.35,39.74,46.63,2249,1.93,448,7,8,7,9,114.55009328865268,33.68685774731111,491.7290142442535,0,0,0,0,1
8.06,8.04,0.19,8.81,17.61,0.59,1639,67.28,9.550252519876672,52.027066707643016,0.0,73.53,89529,7.37,76.44,98.3,2012,14.3,47,6,5,8,10,94.0376181715559,33.64721233697081,401.2724661941157,0,1,0,0,0
2.53,8.17,2.84,8.89,22.36,16.03,4422,71.87,38.65039696472856,87.21733123345392,19.767591109803014,79.02,69419,35.52,15.54,41.72,2743,19.76,829,8,8,0,8,115.65598797743061,18.575790951764724,397.8261225705313,0,0,0,0,1
2.49,7.6,1.99,6.96,19.04,7.81,1757,30.93,10.820110663077845,31.76398901499353,18.64834650474666,10.89,85429,25.03,48.96,97.33,2985,24.33,803,7,7,2,7,102.36617663871819,20.774444257053513,339.00061711490685,0,0,0,1,0
5.9,7.12,4.89,8.46,6.03,14.9,835,66.7,18.64548905428631,4.697581124759026,45.682932299771196,58.99,51274,3.69,28.99,28.38,2993,29.72,994,4,6,10,2,84.01339589862688,18.69649766498309,212.93218559522836,0,1,0,0,0
0.7,7.66,2.54,6.45,49.52,18.97,2536,70.29,45.379974589554536,48.31332953096403,11.480058477589564,38.84,27954,53.15,12.86,83.52,832,0.55,799,1,0,6,2,21.37798846291053,13.068714932884543,42.498627452924545,0,0,0,0,0
0.26,7.77,2.76,9.66,41.29,6.13,2525,76.9,45.35916467322884,57.98480630877301,26.66342427310112,15.64,529,99.83,59.38,55.18,1179,11.79,444,4,2,5,0,52.00842901252921,11.623550969043372,62.54516818569687,0,0,0,1,0
2.61,8.23,3.56,4.33,27.05,1.79,984,41.86,14.087725222361042,46.14775465858803,40.768019432068286,21.87,49960,85.3,16.09,35.59,734,10.44,765,7,10,6,2,126.37430367371303,16.59207345957404,303.3839581809232,0,1,0,0,0
5.38,8.39,2.42,9.41,23.82,4.65,1357,46.9,39.171484638287275,26.37364401133389,21.22019711026887,78.55,75737,16.89,19.61,82.99,2668,20.85,253,9,1,7,10,89.66269447392064,30.646289679850103,338.80840382102747,0,0,1,0,0
9.08,7.29,1.12,4.81,32.46,4.44,4887,82.92,36.03031089361737,101.33369575047028,45.29702486570123,17.83,84513,88.43,16.54,20.56,1971,18.64,849,8,4,5,0,86.92548551126346,11.549123498604892,124.05648348601649,0,0,0,0,1
8.46,8.0,2.69,3.72,16.32,14.84,3060,41.73,13.295731698128872,68.91832881028634,25.675020998464895,32.62,53082,45.18,88.0,47.77,1771,3.2,558,8,4,2,7,92.82502989603618,20.509346682150298,295.8666174707442,0,1,0,0,0
4.9,8.41,4.72,6.07,2.51,1.24,4477,59.12,17.977628141582034,84.56866008015446,20.16456563250116,29.92,83194,27.33,13.14,68.39,725,30.45,753,0,4,1,0,27.921237705500303,3.6236781634497013,27.751318536702072,0,0,0,0,1
0.37,6.38,2.05,7.3,20.22,1.02,1446,47.53,22.286107213631418,29.17127129575005,22.00479835434553,6.77,84018,64.03,31.58,38.48,2718,27.49,182,8,3,6,4,85.96809305468965,18.382942947873115,216.48179242402784,0,0,1,0,0
5.35,6.05,3.4,4.62,49.2,13.87,1371,68.16,55.188790904029965,18.341864450709757,28.89583636915093,47.29,75682,21.67,62.16,46.6,1750,32.85,260,6,4,10,8,91.03806797353361,30.528884849263672,336.0946044871974,0,1,0,0,0
7.05,8.17,4.89,6.89,9.12,11.13,3224,99.08,10.34638673533328,75.77912628488752,36.786235699142885,77.06,35871,87.97,75.87,27.32,956,4.44,641,8,2,0,6,73.41875809741563,13.982305641795598,213.02176734464248,0,0,0,0,0
3.39,6.49,4.15,8.66,26.39,8.36,1874,89.64,6.782749527794927,46.35723309273054,11.175554917270759,4.17,2980,62.42,58.66,88.26,490,20.25,351,7,0,2,3,56.07072873329153,6.313249975177193,99.48599223078682,0,0,0,1,0
1.11,6.11,3.3,4.8,0.43,11.51,2499,48.86,18.352540081406428,45.266850945156264,24.110663720425098,13.03,9538,13.6,88.12,53.77,1910,24.15,854,0,4,10,10,54.15578963191359,32.86963025575762,210.67959180097057,0,1,0,0,0
2.79,6.4,3.68,7.06,6.1,14.7,3361,55.8,4.346448274390431,60.34464032097428,22.2562103423622,72.58,25282,57.06,37.02,31.62,1515,1.96,942,7,8,3,8,106.92202857995268,26.516206138899868,413.5313546651303,0,0,1,0,0
7.72,6.96,4.68,5.38,29.36,2.07,1142,94.3,32.70450301299378,23.250690713277237,44.78195367709462,60.17,63944,51.04,47.76,35.93,2006,38.38,23,7,8,0,8,105.12548331151046,20.773972596786223,374.46428519296984,0,1,0,0,0
3.51,6.55,4.8,6.71,14.87,11.07,4309,92.88,11.173040436867945,90.84598673960927,34.404512086790675,72.09,60337,47.15,75.7,42.01,2880,31.78,283,10,3,4,1,94.84788791538867,11.259471390115728,143.14858809709068,0,0,0,0,1
8.12,6.76,4.84,7.67,45.28,16.49,564,41.24,62.00813917717154,20.540402906236316,18.07788025657579,24.55,85550,36.5,64.54,38.36,2201,9.75,362,2,2,9,9,49.50104712022901,31.026980692130685,188.45495157921096,1,0,0,0,0
3.2,8.44,3.13,5.45,20.31,7.25,4827,88.05,13.517696714341433,95.34330885559626,7.818253661826811,80.77,9921,47.42,27.13,60.26,1921,25.15,144,0,0,2,9,12.967011854765893,21.9327279323512,63.02049162873921,0,1,0,0,0
1.64,7.76,1.92,9.96,10.4,15.26,4534,50.83,20.88799816453104,90.86632810093946,0.0,49.03,49598,58.6,49.89,92.42,692,5.74,979,7,1,1,10,66.66101911093695,21.12186420273424,268.3326636983996,0,0,0,0,0
4.36,7.78,0.67,6.95,27.28,16.91,1588,68.07,43.98254856520643,20.88236890578107,17.994334765679252,61.81,88894,73.36,88.08,34.71,1638,34.93,709,2,7,2,5,67.40507971476794,15.8455146940765,178.31277792704617,0,1,0,0,0
4.52,6.24,1.93,8.77,39.75,16.42,3985,30.36,47.93697910016005,76.50620867229794,29.517258103105874,11.03,87111,91.79,79.04,56.28,1067,3.93,451,2,0,7,3,28.417094898209633,18.447508248379137,59.24392181656779,0,0,0,1,0
0.16,7.83,4.71,8.08,0.97,13.01,4724,99.9,5.36728960061132,89.59115271486434,16.754933332912675,22.09,23552,4.44,25.34,73.11,1972,36.16,999,0,7,5,7,59.70551131093574,24.700417413597208,208.39280536666507,0,1,0,0,0
1.17,7.85,4.45,8.97,25.28,14.35,4998,83.28,28.210398023130292,91.56302655795031,44.938484638197956,77.79,68832,56.93,24.38,34.7,2065,33.11,388,10,6,6,10,123.29397443471423,30.60722841581437,536.4841577623409,1,0,0,0,0
1.85,7.65,2.62,4.22,38.67,15.75,1470,46.92,53.42704233548068,15.687196942185555,34.62498103420202,23.94,34395,75.2,76.27,32.32,661,19.13,576,4,7,5,6,85.17543296836243,20.2689631557769,277.4584059804772,0,0,0,0,1
1.14,6.57,2.69,4.56,5.18,14.67,3914,77.87,39.00323968339423,83.0237080002094,32.773034056920594,11.07,72538,11.56,25.91,32.43,695,26.1,811,9,5,5,6,110.39103350498696,22.721378751720927,338.28963969108577,0,1,0,0,0
3.42,7.06,1.54,6.41,45.14,9.03,3113,50.53,47.803574914695105,49.720436578815786,11.824500167245315,60.53,46110,91.15,46.22,90.56,225,9.83,136,6,8,2,10,105.6440636813574,29.118952334853685,433.06418015920565,0,0,0,0,0
9.65,8.12,2.27,8.97,13.23,3.18,4490,36.26,13.421806088891548,82.69268405298337,0.0,55.7,1787,24.5,24.46,76.9,965,15.37,310,9,2,7,9,99.66450138790593,27.93374321989996,349.08360385667515,0,0,1,0,0
5.09,7.68,3.57,4.38,8.53,6.19,4342,59.77,25.875012294398147,89.37809598697955,36.35048433610412,61.57,87270,83.33,11.17,46.91,2277,8.7,780,8,9,6,8,132.413127391751,30.87795786941848,507.85799780080885,0,1,0,0,0
6.28,7.83,2.01,9.8,29.46,4.14,3362,72.96,32.708620472018445,88.4160514033484,2.4992276173046464,62.59,25624,66.2,80.03,92.2,2643,21.1,945,6,3,6,4,74.66263049844262,16.614442702533047,186.87437353649807,0,1,0,0,0
3.56,7.47,0.94,3.89,8.75,7.23,1636,36.28,0.0,23.193301976189733,0.0,51.02,20829,55.95,72.32,96.28,2022,12.75,853,8,5,5,5,102.4871763152689,21.49860460659197,288.82716603873246,0,0,0,1,0
3.23,7.12,2.7,4.23,33.99,9.79,2912,66.29,36.455074010388465,71.83475941235308,17.712524101703707,50.39,37197,86.92,47.65,51.86,1332,14.06,621,7,7,4,0,104.60623428762486,9.565828929322914,148.45573484086663,0,0,0,0,0
0.23,7.9,1.13,4.17,24.51,19.18,1472,66.04,37.78086951777526,22.370260108956042,26.349510692961832,92.57,59117,96.92,22.77,60.84,2102,17.71,830,1,4,9,5,52.59860205118251,26.03567234512636,169.60882823736964,1,0,0,0,0
